Data;POD 1 - Energia Attiva in Ingresso [Wh];POD 1 - Energia Reattiva in Ingresso [Varh];POD 1 - Energia Attiva in Uscita [Wh];POD 1 - Energia Reattiva in Uscita [Varh];POD 2 - Energia Attiva in Ingresso [Wh];POD 2 - Energia Reattiva in Ingresso [Varh];Cogeneratore - Energia Attiva Prodotta [Wh]
01/01/2023 00:00;337500;0;0;96750;3000;0;0
01/01/2023 01:00;335250;0;0;98250;3300;0;0
01/01/2023 02:00;297750;0;0;111750;3000;0;0
01/01/2023 03:00;311250;0;0;106500;3300;0;0
01/01/2023 04:00;313500;0;0;106500;3000;0;0
01/01/2023 05:00;306750;0;0;110250;3000;0;0
01/01/2023 06:00;306000;0;0;113250;3000;0;0
01/01/2023 07:00;314250;0;0;108750;3000;0;0
01/01/2023 08:00;303000;0;0;108000;3300;0;0
01/01/2023 09:00;314250;0;0;106500;3000;0;0
01/01/2023 10:00;304500;0;0;111750;3000;0;0
01/01/2023 11:00;297000;0;0;114750;3300;0;0
01/01/2023 12:00;303000;0;0;113250;3300;0;0
01/01/2023 13:00;289500;0;0;117000;3000;0;0
01/01/2023 14:00;306000;0;0;107250;3600;0;0
01/01/2023 15:00;309000;0;0;105750;3000;0;0
01/01/2023 16:00;328500;0;0;101250;3000;0;0
01/01/2023 17:00;307500;0;0;114750;3300;0;0
01/01/2023 18:00;294750;0;0;118500;3000;0;0
01/01/2023 19:00;290250;0;0;121500;3300;0;0
01/01/2023 20:00;328500;0;0;105750;3000;0;0
01/01/2023 21:00;293250;0;0;116250;3300;0;0
01/01/2023 22:00;304500;0;0;110250;3300;0;0
01/01/2023 23:00;312750;0;0;106500;3300;0;0
02/01/2023 00:00;348750;0;0;93750;3000;0;0
02/01/2023 01:00;333750;0;0;96750;3300;0;0
02/01/2023 02:00;296250;0;0;111000;3000;0;0
02/01/2023 03:00;336000;0;0;99000;3300;0;0
02/01/2023 04:00;294750;0;0;113250;3000;0;0
02/01/2023 05:00;306750;0;0;111750;3000;0;0
02/01/2023 06:00;312750;0;0;116250;3300;0;0
02/01/2023 07:00;341250;0;0;124500;196200;2400;0
02/01/2023 08:00;582750;0;0;100500;240600;4200;0
02/01/2023 09:00;457500;0;0;94500;238500;6000;0
02/01/2023 10:00;381750;0;0;92250;231600;5100;0
02/01/2023 11:00;417750;0;0;81000;228600;6900;0
02/01/2023 12:00;430500;0;0;81750;237000;4500;0
02/01/2023 13:00;408000;0;0;95250;218700;4500;0
02/01/2023 14:00;429750;0;0;89250;230100;5700;0
02/01/2023 15:00;396000;0;0;87750;227700;5400;0
02/01/2023 16:00;328500;0;0;111000;56100;1200;0
02/01/2023 17:00;327000;0;0;109500;3000;0;0
02/01/2023 18:00;345000;0;0;101250;3600;0;0
02/01/2023 19:00;346500;0;0;100500;3300;0;0
02/01/2023 20:00;354000;0;0;96750;3300;0;0
02/01/2023 21:00;345000;0;0;100500;3300;0;0
02/01/2023 22:00;344250;0;0;101250;3600;0;0
02/01/2023 23:00;333750;0;0;102750;3300;0;0
03/01/2023 00:00;344250;0;0;98250;3300;0;0
03/01/2023 01:00;336750;0;0;100500;3300;0;0
03/01/2023 02:00;348000;0;0;92250;3600;0;0
03/01/2023 03:00;342000;0;0;95250;3300;0;0
03/01/2023 04:00;393000;0;0;87000;3300;0;0
03/01/2023 05:00;351750;0;0;100500;3000;0;0
03/01/2023 06:00;331500;0;0;108750;9000;0;0
03/01/2023 07:00;360000;0;0;111000;227100;5100;0
03/01/2023 08:00;351000;0;0;100500;232800;5100;0
03/01/2023 09:00;351000;0;0;104250;236400;6000;0
03/01/2023 10:00;404250;0;0;86250;241200;3000;0
03/01/2023 11:00;405000;0;0;79500;226800;5700;0
03/01/2023 12:00;399000;0;0;89250;204000;3600;0
03/01/2023 13:00;368250;0;0;93750;200400;4200;0
03/01/2023 14:00;387750;0;0;105750;190500;2400;0
03/01/2023 15:00;378750;0;0;112500;193500;3300;0
03/01/2023 16:00;356250;0;0;122250;18900;0;0
03/01/2023 17:00;320250;0;0;135750;3300;0;0
03/01/2023 18:00;316500;0;0;132000;3300;0;0
